@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute outputs-1 {0,1,2}

@data
122,'2016/04/28 17:47:13:972',1,0,1
123,'2016/04/28 17:47:13:988',1,2.108196,1
124,'2016/04/28 17:47:14:005',1,0,1
125,'2016/04/28 17:47:14:021',1,0,1
126,'2016/04/28 17:47:14:041',1,3.043083,1
127,'2016/04/28 17:47:14:059',1,3.961754,1
128,'2016/04/28 17:47:14:075',1,0,1
129,'2016/04/28 17:47:14:091',1,4.369298,1
130,'2016/04/28 17:47:14:109',1,6.468658,1
131,'2016/04/28 17:47:14:125',1,0,1
132,'2016/04/28 17:47:14:141',1,0,1
133,'2016/04/28 17:47:14:159',1,4.025296,1
134,'2016/04/28 17:47:14:175',1,0,1
135,'2016/04/28 17:47:14:191',1,0,1
136,'2016/04/28 17:47:14:208',1,4.084689,1
137,'2016/04/28 17:47:14:227',1,4.345201,1
138,'2016/04/28 17:47:14:243',1,0,1
139,'2016/04/28 17:47:14:259',1,0,1
140,'2016/04/28 17:47:14:276',1,4.717311,1
141,'2016/04/28 17:47:14:291',1,6.78497,1
142,'2016/04/28 17:47:14:307',1,0,1
143,'2016/04/28 17:47:14:324',1,0,1
144,'2016/04/28 17:47:14:340',1,0,1
145,'2016/04/28 17:47:14:356',1,6.670812,1
146,'2016/04/28 17:47:14:373',1,0,1
147,'2016/04/28 17:47:14:391',1,0,1
148,'2016/04/28 17:47:14:410',1,2.687678,1
149,'2016/04/28 17:47:14:426',1,0,1
150,'2016/04/28 17:47:14:444',1,3.255245,1
151,'2016/04/28 17:47:14:460',1,0,1
152,'2016/04/28 17:47:14:477',1,2.20257,1
153,'2016/04/28 17:47:14:495',1,0.116699,1
154,'2016/04/28 17:47:14:513',1,3.703247,1
155,'2016/04/28 17:47:14:532',1,0,1
156,'2016/04/28 17:47:14:547',1,0,1
157,'2016/04/28 17:47:14:564',1,4.050245,1
158,'2016/04/28 17:47:14:581',1,0,1
159,'2016/04/28 17:47:14:597',1,0,1
160,'2016/04/28 17:47:14:615',1,7.993927,1
161,'2016/04/28 17:47:14:632',1,0,1
162,'2016/04/28 17:47:14:650',1,0,1
163,'2016/04/28 17:47:14:667',1,5.845183,1
164,'2016/04/28 17:47:14:686',1,0,1
165,'2016/04/28 17:47:14:703',1,0,1
166,'2016/04/28 17:47:14:721',1,4.640108,1
167,'2016/04/28 17:47:14:738',1,0,1
168,'2016/04/28 17:47:14:756',1,9.284807,1
169,'2016/04/28 17:47:14:773',1,0,1
170,'2016/04/28 17:47:14:791',1,0,1
171,'2016/04/28 17:47:14:809',1,4.518888,1
172,'2016/04/28 17:47:14:826',1,0,1
173,'2016/04/28 17:47:14:843',1,3.136163,1
174,'2016/04/28 17:47:14:861',1,3.198475,1
175,'2016/04/28 17:47:14:877',1,0,1
176,'2016/04/28 17:47:14:893',1,0,1
177,'2016/04/28 17:47:14:910',1,3.075409,1
178,'2016/04/28 17:47:14:925',1,3.048877,1
179,'2016/04/28 17:47:14:941',1,0,1
180,'2016/04/28 17:47:14:959',1,0,1
181,'2016/04/28 17:47:14:975',1,0,1
182,'2016/04/28 17:47:14:992',1,2.334087,1
183,'2016/04/28 17:47:15:009',1,0,1
184,'2016/04/28 17:47:15:024',1,0,1
185,'2016/04/28 17:47:15:065',1,2.445291,1
186,'2016/04/28 17:47:15:083',1,0.931581,1
187,'2016/04/28 17:47:15:100',1,1.013108,1
188,'2016/04/28 17:47:15:122',1,0,1
189,'2016/04/28 17:47:15:139',1,1.428007,1
190,'2016/04/28 17:47:15:156',1,0,1
191,'2016/04/28 17:47:15:172',1,2.116603,1
192,'2016/04/28 17:47:15:189',1,0,1
193,'2016/04/28 17:47:15:205',1,2.800759,1
194,'2016/04/28 17:47:15:221',1,0,1
195,'2016/04/28 17:47:15:238',1,3.0594,1
196,'2016/04/28 17:47:15:255',1,0,1
197,'2016/04/28 17:47:15:269',1,3.808471,1
198,'2016/04/28 17:47:15:285',1,0,1
199,'2016/04/28 17:47:15:310',1,6.015555,1
200,'2016/04/28 17:47:15:327',1,3.21066,1
201,'2016/04/28 17:47:15:346',1,0,1
202,'2016/04/28 17:47:15:364',1,4.627219,1
203,'2016/04/28 17:47:15:379',1,0,1
204,'2016/04/28 17:47:15:397',1,0,1
205,'2016/04/28 17:47:15:415',1,5.057124,1
206,'2016/04/28 17:47:15:433',1,4.10728,1
207,'2016/04/28 17:47:15:451',1,0,1
208,'2016/04/28 17:47:15:469',1,4.434812,1
209,'2016/04/28 17:47:15:490',1,0,1
210,'2016/04/28 17:47:15:507',1,5.616849,1
211,'2016/04/28 17:47:15:523',1,0,1
212,'2016/04/28 17:47:15:540',1,8.700115,1
213,'2016/04/28 17:47:15:559',1,0,1
214,'2016/04/28 17:47:15:575',1,4.507529,1
215,'2016/04/28 17:47:15:592',1,0,1
216,'2016/04/28 17:47:15:609',1,3.088967,1
217,'2016/04/28 17:47:15:626',1,0,1
218,'2016/04/28 17:47:15:643',1,2.172823,1
219,'2016/04/28 17:47:15:661',1,0,1
220,'2016/04/28 17:47:15:679',1,1.306113,1
221,'2016/04/28 17:47:15:697',1,0,1
222,'2016/04/28 17:47:15:715',1,0.978214,1
223,'2016/04/28 17:47:15:732',1,0,1
224,'2016/04/28 17:47:15:750',1,0,1
225,'2016/04/28 17:47:15:766',1,2.790783,1
226,'2016/04/28 17:47:15:783',1,0,1
227,'2016/04/28 17:47:15:801',1,0,1
228,'2016/04/28 17:47:15:819',1,0,1
229,'2016/04/28 17:47:15:838',1,0,1
230,'2016/04/28 17:47:15:855',1,0,1
231,'2016/04/28 17:47:15:871',1,4.063116,1
232,'2016/04/28 17:47:15:888',1,3.125061,1
233,'2016/04/28 17:47:15:905',1,5.15814,1
234,'2016/04/28 17:47:15:922',1,3.729298,1
235,'2016/04/28 17:47:15:938',1,0,1
236,'2016/04/28 17:47:15:955',1,0,1
237,'2016/04/28 17:47:15:971',1,7.669658,1
238,'2016/04/28 17:47:15:988',1,0,1
239,'2016/04/28 17:47:16:005',1,0,1
240,'2016/04/28 17:47:16:022',1,0,1
241,'2016/04/28 17:47:16:038',1,0,1
242,'2016/04/28 17:47:16:053',1,0,1
243,'2016/04/28 17:47:16:070',1,7.230743,1
244,'2016/04/28 17:47:16:088',1,0,1
245,'2016/04/28 17:47:16:104',1,3.224065,1
246,'2016/04/28 17:47:16:122',1,0,1
247,'2016/04/28 17:47:16:138',1,2.7265,1
248,'2016/04/28 17:47:16:155',1,0,1
249,'2016/04/28 17:47:16:172',1,2.844609,1
250,'2016/04/28 17:47:16:186',1,0,1
251,'2016/04/28 17:47:16:204',1,2.765151,1
252,'2016/04/28 17:47:16:222',1,2.189847,1
253,'2016/04/28 17:47:16:238',1,0,1
254,'2016/04/28 17:47:16:255',1,2.490823,1
255,'2016/04/28 17:47:16:271',1,0,1
256,'2016/04/28 17:47:16:289',1,1.194608,1
257,'2016/04/28 17:47:16:305',1,0,1
258,'2016/04/28 17:47:16:328',1,0,1
259,'2016/04/28 17:47:16:347',1,0.247943,1
260,'2016/04/28 17:47:16:365',1,0.65185,1
261,'2016/04/28 17:47:16:383',1,0,1
262,'2016/04/28 17:47:16:401',1,1.290273,1
263,'2016/04/28 17:47:16:419',1,0,1
264,'2016/04/28 17:47:16:437',1,1.806889,1
265,'2016/04/28 17:47:16:455',1,0,1
266,'2016/04/28 17:47:16:473',1,4.79515,1
267,'2016/04/28 17:47:16:491',1,3.752988,1
268,'2016/04/28 17:47:16:507',1,0,1
269,'2016/04/28 17:47:16:524',1,0,1
270,'2016/04/28 17:47:16:540',1,3.442579,1
271,'2016/04/28 17:47:16:557',1,0,1
272,'2016/04/28 17:47:16:575',1,4.249516,1
273,'2016/04/28 17:47:16:591',1,6.018066,1
274,'2016/04/28 17:47:16:609',1,1.434008,1
275,'2016/04/28 17:47:16:626',1,0,1
276,'2016/04/28 17:47:16:642',1,5.539161,1
277,'2016/04/28 17:47:16:660',1,0,1
278,'2016/04/28 17:47:16:678',1,7.046604,1
279,'2016/04/28 17:47:16:696',1,7.965901,1
280,'2016/04/28 17:47:16:713',1,0,1
281,'2016/04/28 17:47:16:732',1,5.641973,1
282,'2016/04/28 17:47:16:749',1,0,1
283,'2016/04/28 17:47:16:766',1,6.474731,1
284,'2016/04/28 17:47:16:782',1,0,1
285,'2016/04/28 17:47:16:800',1,6.32794,1
286,'2016/04/28 17:47:16:819',1,0,1
287,'2016/04/28 17:47:16:836',1,5.026817,1
288,'2016/04/28 17:47:16:853',1,0,1
289,'2016/04/28 17:47:16:869',1,8.620655,1
290,'2016/04/28 17:47:16:885',1,0,1
291,'2016/04/28 17:47:16:902',1,6.241398,1
292,'2016/04/28 17:47:16:919',1,5.786143,1
293,'2016/04/28 17:47:16:935',1,0.084503,1
294,'2016/04/28 17:47:16:952',1,6.012753,1
295,'2016/04/28 17:47:16:970',1,0,1
296,'2016/04/28 17:47:16:989',1,0,1
297,'2016/04/28 17:47:17:006',1,0,1
298,'2016/04/28 17:47:17:022',1,6.03693,1
299,'2016/04/28 17:47:17:038',1,5.321665,1
300,'2016/04/28 17:47:17:055',1,0,1
301,'2016/04/28 17:47:17:071',1,5.518856,1
302,'2016/04/28 17:47:17:089',1,0,1
303,'2016/04/28 17:47:17:106',1,5.829306,1
304,'2016/04/28 17:47:17:123',1,3.734639,1
305,'2016/04/28 17:47:17:139',1,0.536224,1
306,'2016/04/28 17:47:17:155',1,0,1
307,'2016/04/28 17:47:17:172',1,3.65186,1
308,'2016/04/28 17:47:17:189',1,0,1
309,'2016/04/28 17:47:17:205',1,4.604148,1
310,'2016/04/28 17:47:17:222',1,3.772225,1
311,'2016/04/28 17:47:17:237',1,0,1
312,'2016/04/28 17:47:17:253',1,3.716264,1
313,'2016/04/28 17:47:17:270',1,0,1
314,'2016/04/28 17:47:17:287',1,0,1
315,'2016/04/28 17:47:17:304',1,3.028143,1
316,'2016/04/28 17:47:17:321',1,0,1
317,'2016/04/28 17:47:17:341',1,2.9905,1
318,'2016/04/28 17:47:17:357',1,0,1
319,'2016/04/28 17:47:17:375',1,2.294526,1
320,'2016/04/28 17:47:17:393',1,2.632529,1
321,'2016/04/28 17:47:17:410',1,0,1
322,'2016/04/28 17:47:17:427',1,1.832523,1
323,'2016/04/28 17:47:17:444',1,0,1
324,'2016/04/28 17:47:17:462',1,1.903721,1
325,'2016/04/28 17:47:17:480',1,0,1
326,'2016/04/28 17:47:17:497',1,0,1
327,'2016/04/28 17:47:17:513',1,2.476212,1
328,'2016/04/28 17:47:17:530',1,2.064429,1
329,'2016/04/28 17:47:17:546',1,0,1
330,'2016/04/28 17:47:17:563',1,3.293579,1
331,'2016/04/28 17:47:17:581',1,0.659654,1
332,'2016/04/28 17:47:17:598',1,4.951474,1
333,'2016/04/28 17:47:17:616',1,0,1
334,'2016/04/28 17:47:17:633',1,4.383405,1
335,'2016/04/28 17:47:17:650',1,0,1
336,'2016/04/28 17:47:17:666',1,4.67392,1
337,'2016/04/28 17:47:17:684',1,0,1
338,'2016/04/28 17:47:17:700',1,4.797575,1
339,'2016/04/28 17:47:17:717',1,0,1
340,'2016/04/28 17:47:17:733',1,4.348147,1
341,'2016/04/28 17:47:17:750',1,5.070226,1
342,'2016/04/28 17:47:17:767',1,0,1
343,'2016/04/28 17:47:17:784',1,0,1
344,'2016/04/28 17:47:17:800',1,3.997741,1
345,'2016/04/28 17:47:17:817',1,0,1
346,'2016/04/28 17:47:17:834',1,3.096342,1
347,'2016/04/28 17:47:17:852',1,0,1
348,'2016/04/28 17:47:17:874',1,2.607923,1
349,'2016/04/28 17:47:17:890',1,2.1742,1
350,'2016/04/28 17:47:17:907',1,0,1
351,'2016/04/28 17:47:17:923',1,0.679923,1
352,'2016/04/28 17:47:17:941',1,0,1
353,'2016/04/28 17:47:17:957',1,0,1
354,'2016/04/28 17:47:17:973',1,0.356819,1
355,'2016/04/28 17:47:17:990',1,1.081823,1
356,'2016/04/28 17:47:18:005',1,0,1
357,'2016/04/28 17:47:18:022',1,0,1
358,'2016/04/28 17:47:18:039',1,1.573602,1
359,'2016/04/28 17:47:18:057',1,2.75275,1
360,'2016/04/28 17:47:18:072',1,0,1
361,'2016/04/28 17:47:18:093',1,3.409807,1
362,'2016/04/28 17:47:18:111',1,0,1
363,'2016/04/28 17:47:18:129',1,4.694005,1
364,'2016/04/28 17:47:18:146',1,0,1
365,'2016/04/28 17:47:18:163',1,4.667302,1
366,'2016/04/28 17:47:18:180',1,0,1
367,'2016/04/28 17:47:18:198',1,4.068502,1
